Movie_Title,Release_Year,Rating,Movie_URL
Elvira's Haunted Hills,2001,3 Stars,../filmdata/e_films/elviras_haunted_hills.html
Enemy At The Gates,2001,3 Stars,../filmdata/e_films/enemy_at_the_gates.htm
Enigma,2001,3 Stars,../filmdata/e_films/enigma.htm
Evolution,2001,3 Stars,../filmdata/e_films/evolution.htm
Fast And The Furious,2001,3 Stars,../filmdata/f_films/fast_and_the furious.htm
From Hell,2001,3 Stars,../filmdata/f_films/from_hell.htm
"Ghosts Of
    Mars",2001,3 Stars,../filmdata/g_films/ghosts_of_mars.htm
"Gosford
    Park",2001,3 Stars,../filmdata/g_films/gosford_park.htm
"Harry
    Potter and The Philosophers Stone",2001,3 Stars,../filmdata/h_films/harry_potter_philosophers_stone.htm
Heartbreakers,2001,3 Stars,../filmdata/h_films/heart_breakers.htm
Hearts In Atlantis,2001,3 Stars,../filmdata/h_films/hearts_in_atlantis.html
High Heels And Low Life,2001,3 Stars,../filmdata/h_films/high_heels_and_low_life.htm
Hole,2001,3 Stars,../filmdata/h_films/hole.htm
Iris,2001,3 Stars,../filmdata/i_films/iris.htm
"Joe
    Somebody",2001,3 Stars,../filmdata/j_films/joe_somebody.htm
Jurassic Park 3,2001,3 Stars,../filmdata/j_films/jurassic_park_3.htm
K-Pax,2001,3 Stars,../filmdata/k_films/k_pax.html
Kate & Leopold,2001,3 Stars,../filmdata/k_films/kate_and_leopold.html
Kiss Of The Dragon,2001,3 Stars,../filmdata/k_films/kiss_of_the_dragon.htm
"Knight's
    Tale",2001,3 Stars,../filmdata/k_films/knights_tale.htm
"Lara
    Croft - Tomb Raider",2001,3 Stars,../filmdata/l_films/lara_croft_tomb_raider.htm
"Legally
    Blonde",2001,3 Stars,../filmdata/l_films/legally_blond.htm
Lightning: Fire From The Sky,2001,3 Stars,../filmdata/l_films/lightning_fire_from_the_sky.html
"Lord
    Of The Rings - The Fellowship of The Ring",2001,3 Stars,../filmdata/l_films/lord_of_the_rings_1.htm
Lost World,2001,3 Stars,../filmdata/l_films/lost_world_2001.html
Mexican,2001,3 Stars,../filmdata/m_films/mexican.htm
"Monsters
    Inc",2001,3 Stars,../filmdata/m_films/monsters_inc.htm
"Moulin
    Rouge",2001,3 Stars,../filmdata/m_films/moulin_rouge.htm
"Mummy
    Returns",2001,3 Stars,../filmdata/m_films/mummy_returns.htm
Musketeer,2001,3 Stars,../filmdata/m_films/musketeer.html
Ocean's Eleven,2001,3 Stars,../filmdata/o_films/oceans_eleven_2.htm
Off Season,2001,3 Stars,../filmdata/o_films/off_season.html
Others,2001,3 Stars,../filmdata/o_films/others.htm
"Pearl
    Harbour",2001,3 Stars,../filmdata/p_films/pearl_harbor.htm
"Planet
    Of The Apes",2001,3 Stars,../filmdata/p_films/planet_of_the_apes_2.htm
Pledge,2001,3 Stars,../filmdata/p_films/pledge.htm
Prancer Returns,2001,3 Stars,../filmdata/p_films/prancer_returns.html
